"date","parameter","location","value","unit","city","attribution","averagingperiod","coordinates","country","sourcename","sourcetype","mobile"
"{utc=2006-11-13T06:42:00.000Z, local=2006-11-13T06:42:00+00:00}","pm25","JTA - Jamestown","115.56","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=48.0}","{latitude=5.540114, longitude=-0.2103972}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-13T06:42:00.000Z, local=2006-11-13T06:42:00+00:00}","pm10","JTA - Jamestown","161.09","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=48.0}","{latitude=5.540114, longitude=-0.2103972}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-13T07:13:00.000Z, local=2006-11-13T07:13:00+00:00}","pm25","JTC - Jamestown","104.8","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=48.0}","{latitude=5.5349193, longitude=-0.2124056}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-13T07:13:00.000Z, local=2006-11-13T07:13:00+00:00}","pm10","JTC - Jamestown","187.21","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=48.0}","{latitude=5.5349193, longitude=-0.2124056}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-13T07:31:00.000Z, local=2006-11-13T07:31:00+00:00}","pm25","JTT - Jamestown","86.29","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=48.0}","{latitude=5.5334554, longitude=-0.2129917}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-13T07:31:00.000Z, local=2006-11-13T07:31:00+00:00}","pm10","JTT - Jamestown","163.5","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=48.0}","{latitude=5.5334554, longitude=-0.2129917}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-13T06:30:00.000Z, local=2006-11-13T06:30:00+00:00}","pm25","NMT - Nima","101.28","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=35.0}","{latitude=5.58165, longitude=-0.19898}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-13T07:14:00.000Z, local=2006-11-13T07:14:00+00:00}","pm10","NMA - Nima","156.78","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=46.0}","{latitude=5.58389, longitude=-0.19968}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-13T07:14:00.000Z, local=2006-11-13T07:14:00+00:00}","pm25","NMA - Nima","102.81","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=41.0}","{latitude=5.58389, longitude=-0.19968}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
"{utc=2006-11-15T06:16:00.000Z, local=2006-11-15T06:16:00+00:00}","pm25","NMT - Nima","106.71","µg/m³","Accra","[{name=Dr. Raphael E. Arku and Colleagues, url=https://www.ncbi.nlm.nih.gov/pubmed?term=Arku+RE%5BAuthor%5D+AND+Accra+air+pollution%5BAll+Fields%5D&cmd=DetailsSearch}]","{unit=hours, value=39.0}","{latitude=5.58165, longitude=-0.19898}","GH","Dr. Raphael E. Arku and Colleagues","research","false"
